Species	Tree1	Tree2	Tree3	Tree4	Tree5	Tree6	Tree7	Tree8	Tree9	Tree10	Tree11	Tree12	Tree13	Tree14	Tree15	Tree16	Tree17	Tree18	Tree19	Tree20	Tree21	Tree22	Average 	SpeciesTree 
St_bre	0.0183430272449271	0.0102852754675942	0.0541531083552525	0.00048049292962963	0.00260515464789985	0.00154535003291833	0.00378475223037151	0.0375114207002388	0.00218851637727556	0.00760335784102198	0.00388588260807801	0.0208613969239141	0.00230949254876248	0.00332834756582241	0.00351472540557097	0.0029137004560206	0.00622507350712219	0.00258494636167593	0.000615536879103353	0.00389243190239307	0.00449887103929847	0.0011968263128952	0.00883307669717211	0.013041081781584
Gr_gri	0.0212677166946722	0.000672629280594203	0.0430186264476009	0.00048049292962963	0.00510533878881652	0.00477969126291833	0.00383843709447151	0.0521116344924419	0.000914555891146989	0.00382591349202198	0.00238098587089944	0.0242134081031058	0.00299217470026248	0.00716339009682241	0.00356267820557097	0.0018579420430206	0.00277415031812219	0.000431867350675926	0.00230015799059085	0.00118451860839307	0.000357811005298475	0.000215485411111111	0.00842952754900853	0.00969798178158396
Gl_mac	0.0159772984903389	0.000672629280594203	0.0318217047156009	0.00048049292962963	0.00232151825181652	0.00154535003291833	0.00533878016815485	0.0392854106557752	0.00308450496907556	0.00428457704168865	0.00794587352589944	0.0169594858661058	0.00299217470026248	0.00206695581082241	0.00352139965857097	0.0018579420430206	0.00334699115778886	0.00280095712467593	0.00118932120559085	0.00118451860839307	0.00262384276219259	0.000215485411111111	0.00688714610954668	0.00850148178158396
Pe_ele	0.0063811093713389	0.000672629280594203	0.0439835771056009	0.00368827633062963	0.00364344824681652	0.00261415842791833	0.00288408080115485	0.0348940796257752	0.00353181888207556	0.00382976134102198	0.00998863741189944	0.0099163283326058	0.00217241510392915	0.00331237021882241	0.00122010902057097	0.0018579420430206	0.00334699115778886	0.00475019694567593	0.00118932120559085	0.00118451860839307	0.000577481330192593	0.00300933122011111	0.00675675372779668	0.00860598178158396
Fe_att	0.0191921386613389	0.000672629280594203	0.0457649976956009	0.00403461872062963	0.00422598475689985	0.00154535003291833	0.00501416159130485	0.0364949543757752	0.000914555891146989	0.00866467223068865	0.00238098587089944	0.0141030970821058	0.00217241510392915	0.00206695581082241	0.00243578218557097	0.0018579420430206	0.00334699115778886	0.000431867350675926	0.00118932120559085	0.00388215171139307	0.000577481330192593	0.000215485411111111	0.00732656997727265	0.00850148178158396
Ps_cra	0.0154648142246722	0.000672629280594203	0.0645280327676009	0.00048049292962963	0.00454721703214985	0.00154535003291833	0.00384377531047151	0.0566077741284419	0.00218821991117556	0.00805881091068865	0.00375455588114944	0.0218975860831058	0.00299217470026248	0.00332834756582241	0.00583292088357097	0.0044414439390206	0.00659006930212219	0.000431867350675926	0.00266966131959085	0.00118451860839307	0.000577481330192593	0.000215485411111111	0.00962969222288001	0.010479481781584
De_cap	0.00727566438222692	0.000672629280594203	0.0330923486159576	0.00109486714147508	0.00141331418029985	0.00196841261122369	0.00323441506595818	0.0184706394513761	0.00369715171713556	0.00231211763226365	0.00205481464307801	0.00753527994261691	0.00255613979346248	0.00129391752841764	0.00179174919157097	0.0068342880443956	0.00312843583735433	0.000971649174425926	0.000714356754836687	0.00206440025651807	0.00494938132317514	0.000463928852020202	0.00489045006456286	0.00580490559110777
De_del	0.0104518252512269	0.0023226833468942	0.0273574610539576	0.00109486714147508	0.00141331418029985	0.00196841261122369	0.00323441506595818	0.0206928234223761	0.00274873824173556	0.00427874113826365	0.00389228630207801	0.0106844995825058	0.00255613979346248	0.00255809474941764	0.00179174919157097	0.0033434263543956	0.00383141223554433	0.000971649174425926	0.00219904457383669	0.00167122762126807	0.00324938336117514	0.000805941153895202	0.00514173343395394	0.00580490559110777
St_lon	0.0108610472682269	0.0023226833468942	0.0395637185011969	0.00109486714147508	0.00289475396469985	0.00196841261122369	0.00323441506595818	0.0227763549073761	0.00179964949413556	0.00231211763226365	0.00205481464307801	0.00836938756632762	0.00255613979346248	0.00129391752841764	0.00122010902057097	0.0025003495913956	0.00305751368714433	0.000971649174425926	0.000714356754836687	0.00420744201351807	0.000682724129265142	0.0011968263128952	0.00534787500676308	0.00664140559110777
Tu_adu	0.0133028653889769	0.0011445569573942	0.0344514586252576	0.00109486714147508	0.00231766788355985	0.00228058273465703	0.00405344740262485	0.0237503262330428	0.00494367661132556	0.000904029459466425	0.00399149725807801	0.00836938756632762	0.00313483047642915	0.00129391752841764	0.00351400460157097	0.0037909434863956	0.00975694192112516	0.00258394250767593	0.00303638284858669	0.00867413928301807	0.000700149350675142	0.0011968263128952	0.00628574734449889	0.00696207225777443
Tu_tru	0.0136477951892269	0.0011445569573942	0.0423834763739576	0.00109486714147508	0.00497422915455985	0.00133191350955702	0.00241381172762485	0.0340964383874928	0.00243053178252556	0.00383422801409698	0.00205481464307801	0.0140715210763576	0.00313483047642915	0.00111387477327479	0.00122010902057097	0.0030934083073956	0.00257945855014433	0.000431867350675926	0.00295051728658669	0.00483905999901807	0.000682724129265142	0.0011968263128952	0.00657822091652738	0.00696207225777443
St_coe	0.00882990441297692	0.0011445569573942	0.0317958493752576	0.00109486714147508	0.00273721333629985	0.00347390795355703	0.00241381172762485	0.0231546754382928	0.00256789277417556	0.00724500665439698	0.00396485547407801	0.00713779511226691	0.00313483047642915	0.00111387477327479	0.00122010902057097	0.0029325681480956	0.00257945855014433	0.000431867350675926	0.00145682940058669	0.00167122762126807	0.00209445851459847	0.000463928852020202	0.00512088586661182	0.00707407225777443
So_chi	0.0131716609596436	0.000672629280594203	0.0416190108121576	0.00109486714147508	0.00141331418029985	0.00264611169404453	0.00431551339452485	0.0239759285053261	0.00274681957103556	0.00999633533239698	0.00205481464307801	0.0155650191253576	0.00230949254876248	0.00129391752841764	0.00296298720857097	0.0039428430180206	0.00975026725812516	0.00259099514067593	0.000714356754836687	0.00677191212339307	0.000682724129265142	0.0011968263128952	0.00688583393922259	0.00844852463872681
La_hos	0.0149391049276436	0.0030416257995942	0.0511844917090719	0.00109486714147508	0.00326022705705985	0.00133191350955702	0.00359214914829151	0.0288731425814833	0.00179964949413556	0.00525259677346642	0.00205481464307801	0.015205218834986	0.00255613979346248	0.00364939806427479	0.00294013156657097	0.0020684747633956	0.0105955211021443	0.000971649174425926	0.000714356754836687	0.00291369750951807	0.000682724129265142	0.0011968263128952	0.00726903276321053	0.0082952389244411
St_att	0.0120000162071436	0.0030347331015942	0.0373836863613576	0.00109486714147508	0.00432571302405985	0.00240278965055702	0.00350872509612485	0.0316342683314833	0.000914555891146989	0.00383422801409698	0.00205481464307801	0.00980355865098595	0.00255613979346248	0.00255538886741764	0.00122010902057097	0.0051518276843956	0.00344368214640433	0.000431867350675926	0.00145682940058669	0.00647443257251807	0.00227794470067514	0.0011968263128952	0.00630713654375934	0.00907502463872681
So_flu	0.0216948124089271	0.000672629280594203	0.0503140789952525	0.000772703437175084	0.00297966832905985	0.00169118727904452	0.0160470088783248	0.0564933969602388	0.00120415228607556	0.00540911194539698	0.00205481464307801	0.020915887600986	0.00255613979346248	0.00129391752841764	0.00236590467357097	0.00685730887238727	0.00466121756362516	0.00258645747767593	0.000714356754836687	0.00643776892339307	0.000682724129265142	0.000761350548111111	0.0095075726504045	0.0127390246387268
Ce_com	0.0156367770191436	0.0012629000023442	0.0464073937879343	0.0031736715552963	0.00117026400777778	0.00121357084339452	0.0046129830673604	0.0383861346308752	0.012574794231397	0.010402937688022	0.00358133791191134	0.0112655253720808	0.00727261005076248	0.00205586506927479	0.000812223309159201	0.00274542239460786	0.00155961655562516	0.000297361753925926	0.00206423603965669	0.00647466742255097	0.00242856229529848	0.000761350548111111	0.00800728207075046	0.00917714130539348
