
The FP indices for tree 1 are : 
hjak91	0.573907160613509
hcle91	0.164183661080844
han_91	0.304052727920334
hgui70	0.152961390073344
hocc91	0.149700643102001
wanosu	0.311222348703571
hlib91	0.190646314453509
hpse91	0.164382261451344
hosmal	0.136596516177001
hmey91	0.155436405870844
hvalsi	0.202249245773509
hguiii	0.152961390073344
huva08	0.104100137674677
scerre	0.53703946548662
htha91	0.181685964030844
hocc29	0.148874838042001
hosm91	0.136596516177001
hnec31	0.212918577272844
kmarsu	0.368274603444312
cjadii	0.1972962181
hlac70	0.180547897648344
hvin91	0.144960638552001
huva9-	0.117091878937677
hvinea	0.144960638552001
huva70	0.105654221159344
khat91	0.316155086580652
hopuea	0.162540613131344
hsin91	0.310055827113509
huva86	0.115822503269677

The FP indices for tree 2 are : 
han_91	0.150310765638491
hgui70	0.0248599255153481
hjak91	0.0372041653888878
hcle91	0.0391219676654565
hocc91	0.068161370153491
wanosu	0.218909407921429
hlib91	0.0846471473621231
hosmal	0.037651525175991
hpse91	0.0647208692142898
hvalsi	0.0867787209321231
hmey91	0.0259780482104565
hguiii	0.0279773970353481
huva08	0.0244848242444565
scerre	0.331079700414577
hnec31	0.0378036804119565
htha91	0.0255199501761231
hocc29	0.089373402333491
hosm91	0.037651525175991
hlac70	0.0318329408283481
cjadii	0.0665064182
kmarsu	0.164829339114577
huva9-	0.0332475137802898
hvin91	0.041109900953991
khat91	0.0512301974904565
huva70	0.0244848242444565
hvinea	0.037892179135991
hopuea	0.0250001372183481
huva86	0.0308033222292898
hsin91	0.0728553360271231

The FP indices for tree 3 are : 
hnec31	0.211751519276564
htha91	0.212813324233993
hosm91	0.0823130881390291
hocc29	0.103832994660029
hlac70	0.189663257611909
cjadii	0.07985924205
kmarsu	0.267684313942315
scerre	0.258339403642315
huva08	0.141929291516564
hopuea	0.161971700544909
huva86	0.133952091966564
hsin91	0.401131519923759
huva9-	0.133100116661564
hvin91	0.0785416595440291
khat91	0.292429319134474
huva70	0.141929291516564
hvinea	0.0785416595440291
wanosu	0.1353759311875
hlib91	0.311918289878759
han_91	0.175997201894029
hgui70	0.161981963259243
hcle91	0.199555541722564
hjak91	0.446716520623759
hocc91	0.0987726220330291
hguiii	0.159439344315243
hosmal	0.0823130881390291
hpse91	0.180847552374909
hvalsi	0.264867538848759
hmey91	0.183973250272564

The FP indices for tree 4 are : 
hlac70	0.141303967739431
cjadii	0.1515784418
kmarsu	0.325059347084312
hnec31	0.136202094603112
htha91	0.115094857262597
hosm91	0.113426021272312
hocc29	0.129183230221312
huva08	0.0895955806331116
scerre	0.372142057084312
huva86	0.0923882742571116
hsin91	0.204524900683257
hopuea	0.108925178356431
huva70	0.0937492937091116
khat91	0.166159039924328
hvinea	0.113505823267312
huva9-	0.0941428952931116
hvin91	0.111715066391012
hlib91	0.144689072883257
wanosu	0.218382824078571
hocc91	0.126247292211312
han_91	0.234456794127312
hgui70	0.115357745948097
hjak91	0.273639406483257
hcle91	0.116910354863312
hguiii	0.115357745948097
hvalsi	0.142337032643257
hmey91	0.110616877653312
hosmal	0.113426021272312
hpse91	0.116886990419431

The FP indices for tree 5 are : 
huva08	0.116021316562131
scerre	0.536913456705688
htha91	0.161327135239256
hosm91	0.102162759632688
hocc29	0.161747609704355
hnec31	0.248311483852131
kmarsu	0.366384377405688
cjadii	0.1296256835
hlac70	0.169302546104589
hvin91	0.102050263812688
huva9-	0.117598046051131
hvinea	0.103148828614688
huva70	0.116021316562131
khat91	0.194365170254593
hopuea	0.139330715243089
hsin91	0.275503396763521
huva86	0.121579233291131
hjak91	0.348025297263521
hcle91	0.163003670459256
han_91	0.223439408104355
hgui70	0.131172648011256
hocc91	0.158223776384355
wanosu	0.191478143796429
hlib91	0.190810868878521
hpse91	0.154046176923089
hosmal	0.102162759632688
hmey91	0.152160844059256
hvalsi	0.184623887518521
hguiii	0.131172648011256

The FP indices for tree 6 are : 
hguiii	0.141293323361307
hvalsi	0.150807689513029
hmey91	0.15669890176133
hosmal	0.121577995162593
hpse91	0.130134298275307
hlib91	0.193991258358029
wanosu	0.235855953185714
hocc91	0.145395939532593
han_91	0.232427251565926
hgui70	0.138428470740307
hjak91	0.287893110318029
hcle91	0.13143508122133
hsin91	0.249360100274696
huva86	0.10442207325433
hopuea	0.0932981932647232
huva70	0.0987142234043304
khat91	0.250014927614339
hvinea	0.136431386985593
huva9-	0.10442207325433
hvin91	0.127469876387593
hlac70	0.148392553681973
cjadii	0.1089698424
kmarsu	0.60517333512664
hnec31	0.21416628232433
htha91	0.150499162403473
hocc29	0.175055052822593
hosm91	0.121577995162593
huva08	0.10155050088633
scerre	0.44886668912664

The FP indices for tree 7 are : 
scerre	0.384887272463148
huva08	0.122020268091577
htha91	0.196681563576244
hosm91	0.106205289044148
hocc29	0.176557705314148
hnec31	0.222820236422577
kmarsu	0.428134691563148
cjadii	0.1541767332
hlac70	0.190885419650767
hvin91	0.114165469768148
huva9-	0.124005826364577
hvinea	0.110773507724148
khat91	0.180287899337782
huva70	0.122020268091577
hopuea	0.139887328660767
hsin91	0.235643764462514
huva86	0.125394252664577
hjak91	0.259429276081926
hcle91	0.148226880132434
han_91	0.239991976214148
hgui70	0.135085390047434
hocc91	0.152444068115148
wanosu	0.2115666659
hlib91	0.239699964930639
hpse91	0.147382842540767
hosmal	0.106205289044148
hmey91	0.187757955522434
hvalsi	0.226341708880639
hguiii	0.135085390047434

The FP indices for tree 8 are : 
hmey91	0.161234384157705
hvalsi	0.250459844716963
hpse91	0.159809740283252
