Species	Tree1	Tree2	Tree3	Tree4	Tree5	Tree6	Tree7	Tree8	Tree9	Tree10	Tree11	Tree12	Tree13	Tree14	Tree15	Tree16	Tree17	Tree18	Tree19	Tree20	Tree21	Tree22	Tree23	Tree24	Tree25	Tree26	Tree27	Tree28	Tree29	Tree30	Tree31	Tree32	Tree33	Tree34	Tree35	Tree36	Tree37	Tree38	Tree39	Tree40	Tree41	Tree42	Tree43	Tree44	Tree45	Tree46	Tree47	Tree48	Tree49	Tree50	Tree51	Tree52	Tree53	Tree54	Tree55	Tree56	Tree57	Tree58	Tree59	Tree60	Tree61	Tree62	Tree63	Tree64	Tree65	Tree66	Tree67	Tree68	Tree69	Tree70	Tree71	Tree72	Tree73	Tree74	Tree75	Tree76	Tree77	Tree78	Tree79	Tree80	Tree81	Tree82	Tree83	Tree84	Tree85	Tree86	Tree87	Tree88	Tree89	Tree90	Tree91	Tree92	Tree93	Tree94	Tree95	Tree96	Tree97	Tree98	Tree99	Tree100	Tree101	Tree102	Tree103	Tree104	Tree105	Tree106	Average 	SpeciesTree 
Sklu	0.569863226614286	0.305116969428571	0.258172026542857	0.410018572085714	0.537885684528571	0.393786904	0.266375911457143	0.335079031057143	0.458486574614286	0.97372128642381	0.497796560142857	0.519645997165	0.222668479242857	0.597472586314286	0.596919092314286	1.08526481812857	0.222275687942857	0.481738048228571	0.674311175042857	0.554039734928571	0.347123515371429	0.359436964985714	0.670552835854762	0.351130833557143	0.540444457247619	0.4733729449	0.499745860785714	0.463695992485714	0.802751583762857	0.274617618771429	0.878557910857143	0.858931874178571	1.13258719484286	0.756053760392548	0.204952157428571	0.374444631535714	1.06980473685476	0.4915559918	0.448979622025238	0.3026437483	0.3546520593	0.741431733160119	0.704195551254286	0.405573330623452	0.1236224257	0.264192017298571	0.269751785140714	0.815093800364286	0.339235402182619	0.472401210471429	0.240863030442857	0.302391478842857	0.788079997785714	0.350595049714286	0.593190924888095	0.689630266621429	0.634370054628571	0.516739254070714	0.764202559978571	0.4822695191	0.525248282728571	0.587136684714286	0.578227522957143	0.498627286628571	0.202071173514286	0.1566572133	0.144290968428571	0.433281608414286	0.2002749381	0.6305170207	0.448266452242857	0.610057975772857	0.394754153971429	0.5101415126	0.833831958714286	0.438771177857143	0.550397982657143	0.749858608392857	0.803360727104762	0.857130101457143	0.436935692557143	0.275507919014286	0.2608730968	0.8001359986	0.638486575785714	0.1885499912	0.734066561528571	0.617691075514286	1.17374477322143	0.212664678828571	0.550435483071429	0.318703828328571	0.715180507428572	0.960612171157143	0.1937590089	0.220913416957143	2.69380446715786	0.569739236814286	0.758114303942857	0.494250038421429	1.67977744885714	0.523494990614286	0.82656976975	0.4825859204	0.564907957842857	0.709415751964286	0.555361585553052	0.522686857142857
Scer	0.296050150003452	0.156876892541071	0.20520871316869	0.476533367944881	0.458164002887738	0.340086565435	0.139931726206476	0.30558384491881	0.288782534756786	0.465172583648809	0.305706138825357	0.187775362609167	0.160713628010691	0.387705205102619	0.238392551631786	0.577241521181905	0.155165024596524	0.363539061874405	0.39921723896369	0.215376905523571	0.323529592333095	0.285746095500714	0.373217608902262	0.24219330068131	0.205450247337619	0.308929687690833	0.235870009901548	0.494611154644048	0.293287597324524	0.198705077274762	0.659887787368809	0.261457416830238	0.728339746287857	0.154353415684048	0.208771158098571	0.294289064163214	0.348167265254762	0.235926270553333	0.247147762000238	0.251245177646667	0.2671226976175	0.190230304807119	0.319030181636786	0.201989176654286	0.112053376554	0.366426329711071	0.154356700286214	0.234233546834286	0.175966458612619	0.339541496533929	0.127773993245357	0.15048031314619	0.327459704635714	0.254998869297619	0.351406102157262	0.213060207741429	0.324638129599405	0.193414837447714	0.339020705863571	0.233608455633333	0.311724994716071	0.515047693750952	0.323972112952976	0.291915321688571	0.216606995833452	0.156431337751667	0.116319215115571	0.392221698090952	0.154551471911667	0.30055059494	0.455608390777024	0.238472062070357	0.288331461040595	0.43407601084	0.410821462174286	0.30328560432131	0.15506558162881	0.441836570393691	0.400105509119762	0.532240116524643	0.268881221370476	0.265513141986786	0.1621072819275	0.3831405491925	0.352272907004048	0.153194424912833	0.407752309526905	0.404206161493452	0.551102163073095	0.140461837290905	0.237269485135595	0.236579767656905	0.442622865332738	0.920215542587976	0.196048763818333	0.214703277149643	1.36618667791619	0.432036108225119	0.217837810291357	0.187894121856429	0.869682671739643	0.220299573031786	0.401059660221667	0.31194523222	0.529731532194524	0.282657250779286	0.320242892329277	0.219361306537857
Spar	0.263620575453452	0.134876617701071	0.17368226560869	0.473106565714881	0.432007390287738	0.322734416725	0.129226094146476	0.29710174631881	0.279913850416786	0.433252590468809	0.290690383115357	0.169613039359167	0.139796486700691	0.351032797692619	0.193965516851786	0.539998245881905	0.127954546026524	0.327294875314405	0.369237351353691	0.228333184253571	0.292548397278095	0.230623991980714	0.307743511292262	0.24404987315131	0.217424168342619	0.275359686640833	0.212265061051548	0.438657969294048	0.255430852042857	0.183930795384762	0.621019158108809	0.237328291500238	0.726981827282857	0.113274070285714	0.194760222816071	0.269275518423214	0.294082593784762	0.184801992123333	0.215811233830238	0.225203860076667	0.2435252561975	0.196903154987119	0.293369360086786	0.160654396784286	0.097576364554	0.327702477581071	0.138519853936214	0.213642888756786	0.156627113672619	0.294057252563929	0.127035276005357	0.13383826140619	0.298134899265714	0.245850236807619	0.332445923617262	0.194735247691429	0.306863883499405	0.157092215617714	0.334739694793571	0.252935912955833	0.283746501576071	0.486680126990952	0.328627061892976	0.237610141958571	0.209492997903452	0.137349907991667	0.0881626262055714	0.334027733840952	0.144720117871667	0.30393306784	0.445375190857024	0.229494168400357	0.271360032890595	0.39493561809	0.407922580794286	0.30988179778131	0.12815341766881	0.417927311343691	0.383704058299762	0.487699203374643	0.254505700310476	0.253172206826786	0.1377165525175	0.3532068752325	0.307164965829048	0.136310781272833	0.379061213886905	0.361280946713452	0.492097821953095	0.119861925250905	0.197925630545595	0.220085883196905	0.377699541492738	0.886272884597976	0.168150917568333	0.188730054309643	1.32456949529619	0.419884824165119	0.212141772701357	0.149943412556429	0.809811346457143	0.194509877511786	0.346995919731667	0.3381376812775	0.477856211484524	0.233273778189286	0.295239935559536	0.219361306537857
Smik	0.321945319258452	0.149994039401071	0.19998071404369	0.487315447099881	0.409422067805238	0.354052819735	0.159031176511476	0.316315322988809	0.271724506161786	0.47988699992381	0.333404094910357	0.198005162259167	0.18289078325619	0.375619842467619	0.222237537276786	0.582097895091905	0.144754151201524	0.369719427749405	0.39932523290869	0.214822064578571	0.360023926909762	0.279160163935714	0.367651523227262	0.25313333298131	0.253584634682619	0.313333135695833	0.259807158181548	0.463986759554048	0.362564688144524	0.210178264984762	0.65482695667381	0.289311693200238	0.75780470112619	0.230239511210048	0.245072005836071	0.283916009625714	0.340469030318095	0.219763924703333	0.251830971515238	0.223308725366667	0.2618952811575	0.140783212474286	0.329003640111786	0.122612538594286	0.116309466809	0.326878853991071	0.166126384906214	0.293922299563452	0.182487561642619	0.343923191398929	0.174693228215357	0.16285617917619	0.371370506885714	0.251829514637619	0.382401578807262	0.159837533671429	0.357065953509405	0.182270304592714	0.359320442288571	0.307571806215833	0.295609597618571	0.516513968030952	0.392693088452976	0.333639943001905	0.208977562313452	0.161380972811667	0.0959121025505714	0.360246433950952	0.174024033935	0.25835671404	0.486607716192024	0.242985246975357	0.279601671715595	0.41731837337	0.337047188544286	0.33155723304131	0.163972829733809	0.44898826635369	0.412955197414762	0.493541220517143	0.276128560440476	0.276003573101786	0.1324280219	0.4073247541375	0.396898236580714	0.156047350322833	0.393794305041905	0.400178031248452	0.528002058818095	0.156116211565905	0.234770604160595	0.227777309961905	0.420494543572738	0.935537273872976	0.188199653033333	0.212939554689643	1.31590119750119	0.455596887355119	0.191839243058857	0.159055052091429	0.891835931299643	0.222967292101786	0.382182959396667	0.396154677620833	0.501335382579524	0.313864663539286	0.324254470667063	0.234819306537857
Skud	0.258238902265119	0.166335454884405	0.200051673940357	0.488398356219881	0.454028289202738	0.348234716545	0.13389974641481	0.29938352460881	0.251713553005119	0.46108861312381	0.265880114962857	0.1919961662225	0.20384110709619	0.349672100924286	0.204344888866786	0.548315692735238	0.12674855976819	0.370633185229405	0.372092525155357	0.257598940548571	0.392580633059762	0.270236841129048	0.337024828707262	0.237300337230476	0.294640328082619	0.28700515335	0.227361560894881	0.434523018227381	0.346278119239524	0.201906173744762	0.614922298660476	0.294668672993571	0.73730314215619	0.190402100412548	0.280763718276071	0.347157814513214	0.392590409018095	0.231519211135	0.228664995525238	0.281840498046667	0.244782252990833	0.222604268312619	0.288486065641786	0.225212254901786	0.117897125722333	0.305813670358571	0.161695066856214	0.289441109643452	0.190886987637619	0.325311502432262	0.15576149332869	0.17984106665619	0.412308409415714	0.259490214270952	0.352362507100595	0.301037434296429	0.280672978668571	0.184487521672714	0.304915105108571	0.318646982940833	0.342749675266071	0.506676729520952	0.338666564472976	0.322445912436905	0.199453578520119	0.176432772876667	0.121006257593905	0.341527233260952	0.18741217557	0.326926211035	0.445620117709524	0.238849907925357	0.287512837238929	0.398466664683333	0.454301163354286	0.33941534049131	0.156108146232143	0.434905615670357	0.361008418854762	0.546509267064643	0.27590572977381	0.276801531861786	0.1939123798475	0.35337047478	0.409968700785714	0.146357481226167	0.430286959020238	0.412109979541786	0.473998398501428	0.140755664419238	0.215163142678095	0.184587967965238	0.390010140109405	0.876951593887143	0.19314710573	0.202862676582976	1.22527838514286	0.422277652441786	0.228832741441357	0.198121893436429	0.947216359129643	0.197980089021786	0.38128157616	0.440328641800833	0.49711538450619	0.244414447299286	0.322527091235357	0.25465969047619
Sbay	0.279005510437619	0.132420903476905	0.173695770852857	0.430031110822381	0.527453716902738	0.31872293774	0.11523477393981	0.276333315173809	0.285819686962619	0.45529654582381	0.321205579820357	0.176677575155	0.21152407436619	0.319516287744286	0.197657015714286	0.606497090445238	0.10481296227819	0.317719180281905	0.362737338152857	0.273460663958571	0.403564205749762	0.304907365469048	0.323545113704762	0.270446480597976	0.356155390532619	0.3593965489925	0.232010040892381	0.435490435692381	0.364982831982857	0.190429505824762	0.612354306290476	0.256205708968571	0.62133014212619	0.260687605972548	0.329010436006071	0.387822997953214	0.428313475818095	0.278999567985	0.214812573615238	0.294109685216667	0.219116310923333	0.262582349312619	0.310060791614286	0.215924257358452	0.110552634042333	0.362354280161071	0.145532444983714	0.323249480333452	0.179382569607619	0.292450132964762	0.17104340827119	0.163161578826191	0.467340612815714	0.261442124230952	0.315976028238095	0.269137972596429	0.355763452856071	0.174128507597714	0.387556287098571	0.393188828200833	0.377017737016071	0.450740036370952	0.283162668810476	0.379234020616905	0.145996768427619	0.199767554636667	0.101235152158905	0.344841167360952	0.24347553227	0.348434470035	0.507884742902024	0.162780632712857	0.282654281871429	0.468532577003333	0.466079623954286	0.29691329216381	0.192651036232143	0.416264027642857	0.511223049204762	0.561791219664643	0.30172873975381	0.248101160444286	0.1836356086775	0.4233177112575	0.476581359135714	0.134110971398667	0.469392333840238	0.346031313164286	0.534597549571429	0.110012857484238	0.292106739120595	0.256464769945238	0.326393753881905	0.984519606899643	0.17857917271	0.175988498520476	1.31118507655786	0.410382488684286	0.303082234611357	0.243210755186429	0.957898898229643	0.160296334404286	0.38758134877	0.440366672300833	0.42519925643619	0.213350602084286	0.332312602977362	0.25465663987119
Scas	0.548849493297619	0.257586473156905	0.317966040542857	0.749909945652381	0.977651129845238	0.51435489435	0.28155464595381	0.476428992773809	0.467975509382619	0.778515798257143	0.542686112142857	0.2842364584	0.33621646262619	0.332387770314286	0.297743612714286	0.936363875095238	0.25936031699619	0.487883257061905	0.581432142492857	0.455689092228571	0.870154859388095	0.454890337669048	0.698578118471429	0.520395435690476	0.284419630914286	0.54202960085	0.322938216502381	0.556499923852381	0.791289058662857	0.413503299654762	0.772925095240476	0.487233594578571	1.66807749043786	0.642011298492548	0.442523533828571	0.625898704785714	0.742152970271429	0.36845220125	0.359428418928571	0.478816012766667	0.387660387883333	0.697496843760119	0.491165118454286	0.314694971723452	0.243434878978333	0.400369149628571	0.270930477540714	0.424760163914286	0.152822837734286	0.922167565304762	0.29113886909119	0.577076022796191	0.772150315235714	1.12464566313095	0.406699539371429	0.958480231821429	0.372431788428571	0.338368363970714	0.501010948728571	0.813806206183333	0.513176423228571	0.852503397030952	0.840868165390476	0.487536186778571	0.445439626497619	0.288593153366667	0.160974080046905	0.530074360180952	0.301990403811667	0.6236449042	0.692930226609524	0.620742892842857	0.530497621521429	0.755106964983333	0.695804752214286	1.18570936542381	0.341281261957143	0.596718931742857	0.448929609171429	0.562720307557143	0.545908305873809	0.382483261714286	0.32157321297	0.9168009609	0.751147666269048	0.205005846226667	0.593154268465238	0.736563950364286	1.02279896262143	0.261709116910238	0.675880342738095	0.483894064515238	0.713607830961905	1.24353753500714	0.3055721216	0.420837311740476	1.80252776945786	0.507569770764286	0.636041420142857	0.355198977821429	1.54578811825714	0.484583116714286	0.2851939702	0.5156697462	0.74754722662619	1.03179488146429	0.57882974113475	0.466507690476191
Calb	0.7780905756	0.2544749139	0.3710950421	1.377434949	1.367933955	1.050486514	0.2662444635	0.8064153591	0.610431351	1.469136129	1.015665232	0.4998632688	0.2829980352	1.368562599	0.4836723949	2.348272503	0.1925637206	1.006794421	1.636000472	0.7708329967	1.212517471	0.7083564074	0.7729022418	0.5936236086	0.8652980974	0.8941209613	0.5911057025	1.267276208	1.714068308	0.3728315428	2.759258445	0.8406269167	3.685024295	0.792918492	0.5944264867	0.4978244221	0.6509727684	0.4620832503	0.3290638717	0.5863858056	0.6233537282	0.7552759705	1.088222014	0.7719422152	0.2058044534	1.203743677	0.3666641593	0.6551218563	0.5290534719	0.7767180139	0.2527136874	0.384236931	0.9527276744	0.6054788391	1.164796994	0.6280337915	0.9704339122	0.5747985508	1.043303978	0.7615628895	0.5982639273	1.771808127	0.8149140913	0.9037274066	0.3653163116	0.3896983013	0.1713684905	1.037832255	0.3646165285	0.7171512425	1.66170037	0.7031138145	0.9457274195	1.266026524	1.575926546	0.5144164736	0.4417578792	1.624238442	1.120420494	1.698246213	0.7912192306	0.504005444	0.2735232808	1.153811645	1.117442685	0.3850374731	1.74236812	1.33404359	2.508431853	0.2837418159	0.5661946841	0.7411279332	1.025485877	4.599649004	0.262555076	0.4157071118	8.576948696	1.251319158	0.9630685571	0.4482914525	5.09136581	0.7085255731	1.237880861	1.063743765	1.821995393	0.5996797675	1.04353845018302	1.011218
